Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
332,2277,1/1/2011,Not Specified,21,$845.32 ,6,Regular Air,$33.67 ,$40.99 ,$19.99 ,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Small Box,0.36,1/3/2011
362,2532,10/10/2011,High,39,$282.07 ,3,Regular Air,$140.01 ,$7.31 ,$0.49 ,Alan Barnes,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,Small Box,0.38,10/11/2011
363,2532,10/10/2011,High,24,$426.04 ,1,Regular Air,($78.96),$20.99 ,$2.50 ,Alan Barnes,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.81,10/11/2011
381,2631,9/23/2010,Low,27,"$1,078.49 ",8,Regular Air,$252.66 ,$40.96 ,$1.99 ,Jack Garza,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,Fuji 5.2GB DVD-RAM,Small Pack,0.55,9/25/2010
406,2757,7/19/2011,Critical,39,"$3,554.46 ",7,Delivery Truck,"($1,766.01)",$95.95 ,$74.35 ,Julia West,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Bevis Steel Folding Chairs,Jumbo Drum,0.57,7/19/2011
413,2791,10/9/2009,High,47,$191.67 ,0,Regular Air,($236.27),$3.89 ,$7.01 ,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Binder Labels,Small Box,0.37,10/9/2009
414,2791,10/9/2009,High,49,"$5,586.33 ",9,Delivery Truck,$80.44 ,$120.98 ,$30.00 ,Eugene Barchas,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Hon Every-Day® Chair Series Swivel Task Chairs,Jumbo Drum,0.64,10/11/2009
415,2791,10/9/2009,High,18,$507.64 ,10,Regular Air,$118.94 ,$30.98 ,$5.76 ,Eugene Barchas,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box,0.4,10/10/2009
440,2976,12/9/2010,Not Specified,30,"$14,223.82 ",9,Delivery Truck,"$3,424.22 ",$500.98 ,$26.00 ,Edward Hooks,Nunavut,Nunavut,Consumer,Furniture,Chairs & Chairmats,Global Troy™ Executive Leather Low-Back Tilter,Jumbo Drum,0.6,12/11/2010
471,3232,10/8/2012,Critical,5,$42.66 ,6,Regular Air,($11.83),$7.84 ,$4.71 ,Brad Eason,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Small Box,0.35,10/10/2012
513,3524,5/2/2012,High,21,$427.32 ,0,Regular Air,$52.35 ,$18.97 ,$9.03 ,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,5/3/2012
577,3908,3/8/2010,Medium,8,$820.28 ,0,Regular Air,($180.20),$115.99 ,$2.50 ,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,6160,Small Box,0.57,3/8/2010
606,4132,5/28/2011,Not Specified,5,$14.76 ,1,Regular Air,$1.32 ,$2.88 ,$0.50 ,Aaron Bergman,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Avery 49,Small Box,0.36,5/30/2011
656,4612,9/19/2010,Medium,9,$89.55 ,6,Regular Air,($375.64),$4.48 ,$49.00 ,Jim Radford,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum,Large Box,0.6,9/21/2010
669,4676,8/31/2011,High,11,"$1,210.05 ",4,Regular Air,($104.25),$125.99 ,$7.69 ,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Timeport L7089,Small Box,0.58,9/1/2011
670,4676,8/31/2011,High,50,$187.83 ,3,Regular Air,$85.96 ,$3.75 ,$0.50 ,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Labels,Avery 510,Small Box,0.37,9/2/2011
671,4676,8/31/2011,High,3,$49.59 ,7,Express Air,($8.38),$12.28 ,$6.47 ,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1881,Small Box,0.38,9/2/2011
672,4676,8/31/2011,High,30,"$4,253.01 ",1,Regular Air,"$1,115.69 ",$155.99 ,$8.99 ,Annie Cyprus,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,LX 788,Small Box,0.58,9/1/2011
734,5284,7/8/2011,Not Specified,7,$59.38 ,10,Regular Air,($3.05),$8.69 ,$2.99 ,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,7/10/2011
735,5316,1/30/2009,Critical,42,"$1,285.37 ",10,Regular Air,$514.07 ,$31.78 ,$1.99 ,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Memorex 4.7GB DVD-RAM, 3/Pack",Small Pack,0.42,2/1/2009
755,5409,1/8/2012,Low,11,$48.91 ,1,Regular Air,($7.04),$3.98 ,$2.97 ,Don Jones,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Unpadded Memo Slips,Wrap Bag,0.35,1/13/2012
769,5506,11/7/2010,Critical,22,$129.62 ,5,Regular Air,$4.41 ,$5.88 ,$3.04 ,Beth Thompson,Nunavut,Nunavut,Corporate,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Wrap Bag,0.36,11/8/2010
782,5569,4/29/2010,Not Specified,12,$118.97 ,9,Regular Air,($0.06),$9.65 ,$6.22 ,Frank Price,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Small Box,0.55,5/1/2010
786,5607,12/31/2011,Not Specified,8,$61.87 ,0,Regular Air,($50.33),$7.99 ,$5.03 ,Michelle Lonsdale,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,1/3/2012
817,5894,8/12/2009,High,7,$384.33 ,10,Regular Air,$87.68 ,$58.10 ,$1.49 ,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Avery Arch Ring Binders,Small Box,0.38,8/13/2009
818,5894,8/12/2009,High,3,$239.03 ,1,Regular Air,($68.22),$80.48 ,$4.50 ,Ann Chong,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Small Box,0.55,8/15/2009
821,5925,11/12/2011,Low,44,"$3,922.42 ",8,Regular Air,($354.90),$92.23 ,$39.61 ,Joy Bell,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Medium Box,0.67,11/19/2011
822,5925,11/12/2011,Low,25,"$1,733.36 ",7,Regular Air,($267.01),$85.99 ,$0.99 ,Joy Bell,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,11/19/2011
839,6016,1/20/2012,High,19,$208.28 ,7,Regular Air,$3.63 ,$11.48 ,$5.43 ,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Personal Creations™ Ink Jet Cards and Labels,Small Box,0.36,1/20/2012
853,6116,3/20/2009,Medium,6,"$9,620.82 ",4,Regular Air,"($1,759.58)","$1,637.53 ",$24.49 ,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.81,3/22/2009
863,6182,7/21/2012,Low,40,$255.48 ,4,Regular Air,($116.79),$6.48 ,$6.65 ,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 1966,Small Box,0.36,7/28/2012
864,6182,7/21/2012,Low,18,$130.32 ,4,Express Air,($67.28),$6.48 ,$7.86 ,Grant Carroll,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Xerox 213,Small Box,0.37,7/25/2012
911,6535,6/12/2012,Critical,11,$312.36 ,7,Express Air,($19.33),$28.15 ,$8.99 ,Adrian Hane,Nunavut,Nunavut,Corporate,Office Supplies,Pens & Art Supplies,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Small Pack,0.57,6/15/2012
950,6884,1/15/2009,Low,41,$217.00 ,1,Regular Air,($61.21),$4.98 ,$4.75 ,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Small Box,0.36,1/20/2009
951,6884,1/15/2009,Low,47,$296.13 ,4,Regular Air,$119.09 ,$6.35 ,$1.02 ,Skye Norling,Nunavut,Nunavut,Home Office,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Wrap Bag,0.39,1/20/2009
956,6916,6/4/2010,Low,40,$436.17 ,8,Express Air,($141.27),$10.90 ,$7.46 ,Andrew Gjertsen,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,Crate-A-Files™,Small Box,0.59,6/8/2010
963,6980,2/18/2010,Not Specified,18,$136.29 ,5,Regular Air,($77.28),$7.30 ,$7.72 ,Ralph Knight,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2/19/2010
964,6982,11/16/2011,Not Specified,32,"$1,311.25 ",0,Express Air,$407.44 ,$39.48 ,$1.99 ,Dorothy Wardle,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,11/18/2011
965,6982,11/16/2011,Not Specified,5,$544.41 ,9,Delivery Truck,($338.27),$100.98 ,$57.38 ,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Jumbo Box,0.78,11/18/2011
966,6982,11/16/2011,Not Specified,41,$844.09 ,4,Regular Air,$52.56 ,$19.98 ,$10.49 ,Dorothy Wardle,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,12-1/2 Diameter Round Wall Clock,Small Box,0.49,11/18/2011
988,7110,8/7/2011,Low,22,"$6,396.20 ",2,Regular Air,"$1,902.24 ",$276.20 ,$24.49 ,Grant Carroll,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,SAFCO Arco Folding Chair,Large Box,,8/11/2011
1017,7430,6/8/2010,Medium,50,$751.77 ,5,Regular Air,$353.20 ,$15.67 ,$1.39 ,Barry Weirich,Nunavut,Nunavut,Corporate,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",Small Box,0.38,6/9/2010
1073,7906,10/17/2009,Medium,37,"$1,003.06 ",3,Regular Air,$271.78 ,$25.98 ,$5.37 ,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box,0.5,10/17/2009
1154,8391,8/28/2011,High,4,"$1,266.72 ",4,Delivery Truck,($268.36),$300.98 ,$64.73 ,Sylvia Foulston,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.56,8/29/2011
1156,8419,9/29/2011,Critical,19,$368.04 ,7,Express Air,$70.39 ,$19.98 ,$5.97 ,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 1936,Small Box,0.38,10/1/2011
1157,8419,9/29/2011,Critical,24,$152.60 ,10,Regular Air,($86.62),$6.48 ,$7.03 ,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Xerox 214,Small Box,0.37,9/30/2011
1205,8833,5/4/2012,Low,40,"$3,338.98 ",0,Regular Air,($846.73),$80.98 ,$35.00 ,Nicole Hansen,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,Carina Double Wide Media Storage Towers in Natural & Black,Large Box,0.81,5/8/2012
1226,8995,5/17/2011,High,5,$24.16 ,8,Express Air,$8.05 ,$1.88 ,$1.49 ,Beth Paige,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Staples® General Use 3-Ring Binders,Small Box,0.37,5/18/2011
1227,8995,5/17/2011,High,41,$270.84 ,10,Express Air,($78.02),$6.48 ,$5.86 ,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 1904,Small Box,0.36,5/18/2011
1228,8995,5/17/2011,High,35,"$3,389.93 ",8,Express Air,$737.94 ,$102.30 ,$21.26 ,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box,0.59,5/18/2011
1229,8995,5/17/2011,High,42,$266.36 ,7,Regular Air,($191.28),$6.48 ,$8.19 ,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Xerox 217,Small Box,0.37,5/18/2011
1230,8995,5/17/2011,High,46,$89.41 ,1,Regular Air,($21.49),$1.89 ,$0.76 ,Beth Paige,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Rubber Bands,Revere Boxed Rubber Bands by Revere,Wrap Bag,0.83,5/19/2011
1258,9126,11/17/2009,Medium,47,"$2,799.70 ",4,Regular Air,$884.08 ,$62.05 ,$3.99 ,Sylvia Foulston,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Appliances,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Small Box,0.55,11/18/2009
1259,9127,10/10/2011,Not Specified,7,"$2,039.56 ",4,Express Air,($329.49),$279.48 ,$35.00 ,Bryan Davis,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Large Box,0.8,10/12/2011
1299,9509,10/7/2012,Not Specified,36,"$12,175.82 ",2,Delivery Truck,"$2,825.15 ",$320.98 ,$58.95 ,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57,10/8/2012
1300,9509,10/7/2012,Not Specified,5,$101.21 ,10,Express Air,$2.13 ,$18.97 ,$5.21 ,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1887,Small Box,0.37,10/8/2012
1301,9509,10/7/2012,Not Specified,32,"$1,585.64 ",2,Regular Air,$707.15 ,$48.91 ,$5.81 ,Joy Bell,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Xerox 1891,Small Box,0.38,10/7/2012
1337,9763,8/13/2011,Medium,44,$176.26 ,7,Regular Air,$75.13 ,$4.13 ,$0.50 ,Alan Barnes,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Labels,Avery 506,Small Box,0.39,8/16/2011
1370,9927,8/16/2011,High,32,"$4,655.07 ",0,Delivery Truck,($270.63),$140.98 ,$53.48 ,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Bookcases,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Jumbo Box,0.65,8/17/2011
1371,9927,8/16/2011,High,44,"$10,087.60 ",1,Regular Air,"$3,387.35 ",$218.08 ,$18.06 ,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box,0.57,8/17/2011
1372,9927,8/16/2011,High,34,"$1,608.08 ",9,Express Air,($82.16),$50.98 ,$6.50 ,Grant Carroll,Northwest Territories,Northwest Territories,Corporate,Technology,Computer Peripherals,Microsoft Natural Multimedia Keyboard,Small Box,0.73,8/17/2011
1380,10022,3/4/2009,Low,1,$12.18 ,6,Regular Air,($3.88),$10.14 ,$2.27 ,Delfina Latchford,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Wrap Bag,0.36,3/4/2009
1445,10437,8/18/2009,Critical,50,$820.52 ,1,Regular Air,($191.22),$15.99 ,$13.18 ,Don Jones,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,8/20/2009
1457,10499,11/16/2010,Not Specified,29,"$6,250.94 ",1,Delivery Truck,$31.21 ,$262.11 ,$62.74 ,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Bevis Boat-Shaped Conference Table,Jumbo Box,0.75,11/17/2010
1462,10535,5/27/2011,Low,25,$854.88 ,9,Regular Air,($44.14),$33.98 ,$19.99 ,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,"Linden® 12"" Wall Clock With Oak Frame",Small Box,0.55,5/29/2011
1463,10535,5/27/2011,Low,46,$80.27 ,9,Regular Air,($0.79),$1.76 ,$0.70 ,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,0.56,6/3/2011
1495,10789,8/23/2010,Not Specified,15,$308.54 ,0,Express Air,$76.42 ,$19.84 ,$4.10 ,Jamie Kunitz,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,8/24/2010
1496,10791,8/19/2011,Not Specified,20,$400.57 ,5,Regular Air,$93.36 ,$19.98 ,$5.77 ,Anthony Johnson,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,Xerox Blank Computer Paper,Small Box,0.38,8/21/2011
1513,10945,1/3/2012,Medium,14,"$1,170.03 ",4,Regular Air,$4.22 ,$95.99 ,$8.99 ,Ralph Knight,Northwest Territories,Northwest Territories,Consumer,Technology,Telephones and Communication,600 Series Flip,Small Box,0.57,1/5/2012
1544,11137,11/29/2012,High,48,"$5,188.86 ",10,Regular Air,$395.12 ,$111.03 ,$8.64 ,Allen Rosenblatt,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Storage & Organization,Fellowes Recycled Storage Drawers,Small Box,0.78,11/30/2012
1551,11202,3/17/2012,Medium,8,$339.81 ,5,Regular Air,$79.59 ,$43.41 ,$2.99 ,Barry Weirich,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Satellite Sectional Post Binders,Small Box,0.39,3/18/2012
1589,11456,4/12/2010,Low,15,"$1,519.90 ",9,Regular Air,$399.37 ,$105.34 ,$24.49 ,Doug Bickford,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Large Box,0.61,4/19/2010
1590,11460,8/24/2010,High,30,$102.24 ,9,Regular Air,$37.79 ,$3.69 ,$0.50 ,Carl Jackson,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Labels,Avery 487,Small Box,0.38,8/26/2010
